名称 | 价格(元) | 涨跌幅
尚未添加自选, 点击进入
我的自选股>>
以下为热门股票
&nbsp;股市必察 | &nbsp;每日提示
・公司快报 | &nbsp;公司快报 | &nbsp;新股上市 | &nbsp;龙虎榜单
&nbsp;每日咨询
&nbsp;股市直播 | &nbsp;股市雷达
&nbsp;公司简介 | &nbsp;股本结构
&nbsp;主要股东 | &nbsp;流通股东
&nbsp;基金持股 | &nbsp;公司高管
&nbsp;公司章程 | &nbsp;相关资料
&nbsp;资金流向 | &nbsp;个股体检
&nbsp;风险评价 | &nbsp;价值估值
&nbsp;分时走势 | &nbsp;行情中心
&nbsp;大单追踪 | &nbsp;成交明细
&nbsp;分价图表 | &nbsp;持仓分析
&nbsp;分红配股 | &nbsp;新股发行
&nbsp;增发情况 | &nbsp;招股说明
&nbsp;上市公告
&nbsp;业绩预告
&nbsp;利润表
&nbsp;资产负债表
&nbsp;现金流量表
&nbsp;财务附注
&nbsp;业绩预告
&nbsp;坏帐准备
&nbsp;文字附注
&nbsp;应交增值税款
&nbsp;股东权益增减
&nbsp;资产减值准备
&nbsp;关键指标 | &nbsp;杜邦分析
&nbsp;所属行业 | &nbsp;所属指数
&nbsp;相关证券 | &nbsp;基本资料
&nbsp;所属系别 | &nbsp;所属板块
&nbsp;公司公告 | &nbsp;年度报告
&nbsp;中期报告 | &nbsp;第一季度
&nbsp;第三季度
&nbsp;控股参股 | &nbsp;参股券商
&nbsp;资产托管 | &nbsp;资产置换
&nbsp;资产交易 | &nbsp;资产剥离
&nbsp;股东大会
&nbsp;关联交易
&nbsp;违规记录
&nbsp;诉讼仲裁
&nbsp;对外担保
&nbsp;相关资讯
&nbsp;智能选股 | &nbsp;财务对比
&nbsp;数据浏览
&nbsp;行情中心
&nbsp;新浪股道
法拉电子(600563)  财务指标
报告日期 | 2024-12-31 | 2024-09-30 | 2024-06-30 | 2024-03-31
每股指标
摊薄每股收益(元) | 4.6328 | 3.4449 | 2.1449 | 0.9594
加权每股收益(元) | 4.62 | 3.44 | 2.14 | 0.96
每股收益_调整后(元) | 4.62 | 3.44 | 2.14 | 0.96
扣除非经常性损益后的每股收益(元) | 4.55 | -- | 2.05 | --
每股净资产_调整前(元) | 23.7702 | 22.5811 | 21.2798 | 22.0913
每股净资产_调整后(元) | 23.5037 | 22.3273 | 21.0268 | 21.8398
每股经营性现金流(元) | 5.5926 | 4.2406 | 2.9477 | -0.0003
每股资本公积金(元) | 1.1643 | 1.1643 | 1.1643 | 1.1643
每股未分配利润(元) | 20.6469 | 19.4717 | 18.1702 | 18.9863
调整后的每股净资产(元) | -- | -- | -- | --
盈利能力
总资产利润率(%) | 13.3334 | 10.6652 | 7.2807 | 3.3027
主营业务利润率(%) | 32.6481 | 33.4334 | 33.2812 | 32.4796
总资产净利润率(%) | 14.7608 | 11.421 | 7.4623 | 3.3619
成本费用利润率(%) | 35.0808 | 36.462 | 36.7332 | 34.9623
营业利润率(%) | 25.115 | 25.9719 | 26.1782 | 25.34
主营业务成本率(%) | 66.6251 | 65.8867 | 65.9173 | 66.8841
销售净利率(%) | 21.8447 | 22.538 | 22.7938 | 22.0211
股本报酬率(%) | 1072.8356 | 344.4876 | 779.6211 | 95.9386
净资产报酬率(%) | 45.1337 | 15.2556 | 36.6366 | 4.3428
资产报酬率(%) | 30.8769 | 10.6652 | 26.4642 | 3.3027
销售毛利率(%) | -- | -- | -- | --
三项费用比重 | 4.3748 | 4.8514 | 5.0155 | 5.4198
非主营比重 | 3.853 | 4.0892 | 5.0243 | 4.6194
主营利润比重 | 129.7501 | 128.3903 | 126.3029 | 127.3634
股息发放率(%) | -- | -- | -- | --
投资收益率(%) | -- | -- | -- | --
主营业务利润(元) | 1557884759.6 | 1149800508.52 | 704633458.6 | 318381651.01
